date,category,Exports_US$,volume,unit_price
9/1/2020,Madeups (excl. towels & bedwear),62758000,0,
9/1/2020,Other Textiles,55000000,0,
10/1/2020,Raw Cotton,252000,206,
10/1/2020,Cotton Yarn,59853000,26120,2.291462481
10/1/2020,Cotton Cloth,167819000,134158000,
10/1/2020,Cotton Crd/Cmd,0,0,
10/1/2020,Non-Cotton Yarn,2451000,1155,
10/1/2020,Knitwear,322783000,17600000,18.33994318
10/1/2020,Bedwear,248071000,40676,6.098706854
10/1/2020,Towels,78649000,18796,4.184347734
10/1/2020,"Tents, Tarpaulines",12346000,4678,
10/1/2020,Garments,245977000,2933000,83.86532561
10/1/2020,Artificial Silk & Synthetics,29613000,8224,
10/1/2020,Madeups (excl. towels & bedwear),68176000,0,
10/1/2020,Other Textiles,53925000,0,
11/1/2020,Raw Cotton,0,0,
11/1/2020,Cotton Yarn,74224000,31683,2.342707446
11/1/2020,Cotton Cloth,148292000,31953,
11/1/2020,Cotton Crd/Cmd,0,0,
11/1/2020,Non-Cotton Yarn,2512000,1258,
11/1/2020,Knitwear,324916000,18649000,17.42270363
11/1/2020,Bedwear,238620000,39264,6.077322738
11/1/2020,Towels,79445000,18733,4.24091176
11/1/2020,"Tents, Tarpaulines",9711000,4829,
11/1/2020,Garments,258396000,3086000,83.73169151
11/1/2020,Artificial Silk & Synthetics,28819000,7023,
11/1/2020,Madeups (excl. towels & bedwear),66320000,0,
11/1/2020,Other Textiles,51703000,0,
12/1/2020,Raw Cotton,69000,53,
12/1/2020,Cotton Yarn,96177000,39316,2.446255977
12/1/2020,Cotton Cloth,161838000,36034000,
12/1/2020,Cotton Crd/Cmd,0,0,
12/1/2020,Non-Cotton Yarn,2917000,1291,
12/1/2020,Knitwear,342046000,16552000,20.66493475
12/1/2020,Bedwear,256004000,42105,6.080133001
12/1/2020,Towels,83009000,19013,4.365907537
12/1/2020,"Tents, Tarpaulines",12238000,4618,
12/1/2020,Garments,284915000,3480000,81.87212644
12/1/2020,Artificial Silk & Synthetics,33458000,8165,
12/1/2020,Madeups (excl. towels & bedwear),72133000,0,
12/1/2020,Other Textiles,56160000,0,
1/1/2021,Raw Cotton,0,0,
1/1/2021,Cotton Yarn,85693000,32694,2.621061969
1/1/2021,Cotton Cloth,151324000,32091000,
1/1/2021,Cotton Crd/Cmd,0,0,
1/1/2021,Non-Cotton Yarn,3578000,1679,
1/1/2021,Knitwear,325425000,15205000,21.40249918
1/1/2021,Bedwear,219327000,35643,6.153438263
1/1/2021,Towels,87510000,19485,4.491147036
1/1/2021,"Tents, Tarpaulines",11420000,3963,
1/1/2021,Garments,282897000,3540000,79.91440678
1/1/2021,Artificial Silk & Synthetics,33187000,7612,
1/1/2021,Madeups (excl. towels & bedwear),67691000,0,
1/1/2021,Other Textiles,55272000,0,
2/1/2021,Raw Cotton,0,0,
2/1/2021,Cotton Yarn,120259000,44606,2.69602744
2/1/2021,Cotton Cloth,148965000,34544000,
2/1/2021,Cotton Crd/Cmd,0,0,
2/1/2021,Non-Cotton Yarn,3293000,1328,
2/1/2021,Knitwear,291985000,14887000,19.61342111
2/1/2021,Bedwear,203373000,33013,6.160391361
2/1/2021,Towels,77477000,17214,4.500813292
2/1/2021,"Tents, Tarpaulines",8333000,3045,
2/1/2021,Garments,238451000,3001000,79.45718094
2/1/2021,Artificial Silk & Synthetics,29158000,7033,
2/1/2021,Madeups (excl. towels & bedwear),59108000,0,
2/1/2021,Other Textiles,53629000,0,
3/1/2021,Raw Cotton,0,0,
3/1/2021,Cotton Yarn,114523000,39063,2.931751274
3/1/2021,Cotton Cloth,183882000,37705000,
3/1/2021,Cotton Crd/Cmd,64000,49,
3/1/2021,Non-Cotton Yarn,3230000,1609,
3/1/2021,Knitwear,313876000,15235000,20.60229734
3/1/2021,Bedwear,235378000,38344,6.138587523
3/1/2021,Towels,81427000,18131,4.49103745
3/1/2021,"Tents, Tarpaulines",6928000,2326,
3/1/2021,Garments,256925000,3125000,82.216
3/1/2021,Artificial Silk & Synthetics,39358000,9059,
3/1/2021,Madeups (excl. towels & bedwear),59508000,0,
3/1/2021,Other Textiles,60469000,0,
4/1/2021,Raw Cotton,0,0,
4/1/2021,Cotton Yarn,102733000,34358,2.990075092
4/1/2021,Cotton Cloth,162382000,36981000,
4/1/2021,Cotton Crd/Cmd,0,0,
4/1/2021,Non-Cotton Yarn,3436000,1291,
4/1/2021,Knitwear,345199000,12549000,27.50808829
4/1/2021,Bedwear,239520000,39592,6.049707012
4/1/2021,Towels,84598000,18717,4.519848266
4/1/2021,"Tents, Tarpaulines",6565000,2388,
4/1/2021,Garments,243642000,3066000,79.46575342
4/1/2021,Artificial Silk & Synthetics,32441000,7817,
4/1/2021,Madeups (excl. towels & bedwear),61799000,0,
4/1/2021,Other Textiles,55070000,0,
5/1/2021,Raw Cotton,0,0,
5/1/2021,Cotton Yarn,72084000,23560,3.05959253
5/1/2021,Cotton Cloth,134651000,25322000,
5/1/2021,Cotton Crd/Cmd,0,0,
5/1/2021,Non-Cotton Yarn,1918000,832,
5/1/2021,Knitwear,293138000,11863000,24.71027565
5/1/2021,Bedwear,181000000,28547,6.34042106
5/1/2021,Towels,61797000,13387,4.616194816
5/1/2021,"Tents, Tarpaulines",5923000,1740,
5/1/2021,Garments,194817000,3359000,57.99851146
5/1/2021,Artificial Silk & Synthetics,24509000,5416,
5/1/2021,Madeups (excl. towels & bedwear),48665000,0,
5/1/2021,Other Textiles,41626000,0,
6/1/2021,Raw Cotton,211000,95,
6/1/2021,Cotton Yarn,120931000,39418,3.067913136
6/1/2021,Cotton Cloth,204785000,46667000,
6/1/2021,Cotton Crd/Cmd,0,0,
6/1/2021,Non-Cotton Yarn,4457000,1696,
6/1/2021,Knitwear,411024000,21077000,19.50106751
6/1/2021,Bedwear,299007000,51362,5.821560687
6/1/2021,Towels,99031000,22226,4.455637542
6/1/2021,"Tents, Tarpaulines",8734000,2969,
6/1/2021,Garments,325908000,3932000,82.88606307
6/1/2021,Artificial Silk & Synthetics,44268000,10448,
6/1/2021,Madeups (excl. towels & bedwear),79034000,0,
6/1/2021,Other Textiles,62652000,0,
7/1/2021,Raw Cotton,0,0,
7/1/2021,Cotton Yarn,89874000,28777,3.123119158
7/1/2021,Cotton Cloth,179441000,32847000,
7/1/2021,Cotton Crd/Cmd,388000,306,
7/1/2021,Non-Cotton Yarn,2863000,1140,
7/1/2021,Knitwear,392734000,16061000,24.45264927
